SkadeNr SkadeAr avvikling antallskader SkadeEstimat Regress UtbetaltBelop RBNS
1686230-7 2010 4 0 493408.00 0.00 -1167222.00 -673814.00
1687665-12 2014 0 1 15000.00 0.00 -27756.00 -12756.00
1688637-2 2010 1 1 269.00 0.00 -269.00 0.00
1690186-3 2009 1 0 400000.00 0.00 -44175.00 355825.00
1690186-3 2009 2 0 0.00 0.00 -22875.00 -22875.00
1690186-3 2009 3 0 0.00 0.00 -22345.00 -22345.00
1690186-3 2009 4 1 572376.00 0.00 -882981.00 -310605.00
1690186-6 2009 2 1 55000.00 0.00 -7000.00 48000.00
1690186-6 2009 3 0 195001.00 0.00 -37495.00 157506.00
1690186-6 2009 4 0 -145506.00 0.00 -60000.00 -205506.00
1695002-3 2010 0 0 10000.00 0.00 -269.00 9731.00
1695002-3 2010 1 1 -8741.00 0.00 -990.00 -9731.00
1696332-2 2009 1 0 5000.00 0.00 0.00 5000.00
1696332-2 2009 2 1 -5000.00 0.00 0.00 -5000.00
1697848-11 2013 2 1 40001.00 0.00 0.00 40001.00
1699996-6 2007 1 1 0.00 0.00 0.00 0.00
1699996-7 2007 1 1 0.00 0.00 0.00 0.00
1702961-3 2008 1 1 0.00 0.00 0.00 0.00
1708834-5 2011 0 1 550.00 0.00 -550.00 0.00
1709805-5 2008 1 1 25000.00 0.00 0.00 25000.00
1709805-5 2008 2 0 -25000.00 0.00 0.00 -25000.00
1710479-6 2008 1 1 25000.00 0.00 -1800.00 23200.00
1710479-6 2008 2 0 -23200.00 0.00 0.00 -23200.00
1712144-3 2008 1 1 4500.00 0.00 -4500.00 0.00
1715088-9 2009 0 1 2384.00 0.00 -2384.00 0.00
1721400-2 2012 0 1 40000.00 0.00 -7500.00 32500.00
1721400-2 2012 1 0 -32500.00 0.00 0.00 -32500.00
1729111-5 2009 0 1 70000.00 0.00 0.00 70000.00
1729111-5 2009 2 0 -70000.00 0.00 0.00 -70000.00
1729409-4 2011 0 1 20000.00 0.00 -600.00 19400.00
1729409-4 2011 1 0 -19400.00 0.00 0.00 -19400.00
1729409-5 2011 0 1 3900.00 0.00 -3900.00 0.00
1731650-2 2010 0 1 505.00 0.00 -505.00 0.00
1743244-5 2009 1 1 52345.00 0.00 -38858.00 13487.00
1743244-5 2009 3 0 -13487.00 0.00 0.00 -13487.00
1745697-2 2010 0 1 435.00 0.00 -435.00 0.00
1749445-8 2014 0 1 50000.00 0.00 -3280.00 46720.00
1752222-3 2010 0 0 20000.00 0.00 -9743.00 10257.00
1752222-3 2010 1 1 80000.00 0.00 -5577.00 74423.00
1752222-3 2010 2 0 0.00 0.00 -500.00 -500.00
1752222-3 2010 3 0 -50000.00 0.00 -500.00 -50500.00
1752222-3 2010 4 0 0.00 0.00 -499.00 -499.00
1752267-6 2008 1 0 50000.00 0.00 -3040.00 46960.00
1752267-6 2008 2 0 0.00 0.00 -30000.00 -30000.00
1752267-6 2008 3 1 -16960.00 0.00 0.00 -16960.00
1752827-3 2008 0 0 25000.00 0.00 0.00 25000.00
1752827-3 2008 2 1 -25000.00 0.00 0.00 -25000.00
1754177-3 2011 0 1 15000.00 0.00 -15000.00 0.00
1765916-1 2009 0 1 8300000.00 0.00 0.00 8300000.00
1765916-1 2009 1 0 0.00 0.00 -245751.00 -245751.00
1765916-1 2009 2 0 1000000.00 0.00 -2135000.00 -1135000.00
1765916-1 2009 3 0 0.00 0.00 -247166.00 -247166.00
1765916-1 2009 4 0 2100000.00 0.00 -90100.00 2009900.00
1765916-1 2009 5 0 620000.00 0.00 -1061564.00 -441564.00
1767046-2 2008 1 1 20000.00 0.00 -1062.00 18938.00
1767046-2 2008 3 0 480000.00 0.00 0.00 480000.00
1767941-5 2012 0 1 40000.00 0.00 -6429.00 33571.00
1767941-5 2012 1 0 0.00 0.00 -865.00 -865.00
1767941-5 2012 2 0 -9506.00 0.00 -23200.00 -32706.00
1770696-8 2013 1 1 16151.00 0.00 -1150.00 15001.00
1771958-2 2008 0 1 1000.00 0.00 -515.00 485.00
1771958-2 2008 3 0 -485.00 0.00 0.00 -485.00
1772788-1 2010 0 0 0.00 0.00 0.00 0.00
1772788-1 2010 1 1 21830.00 0.00 -21830.00 0.00
1773967-1 2010 1 0 1570.00 0.00 -1570.00 0.00
1773967-1 2010 3 1 2600.00 0.00 -2600.00 0.00
1776585-2 2008 0 1 50000.00 0.00 0.00 50000.00
1776585-2 2008 1 0 -50000.00 0.00 0.00 -50000.00
1780322-1 2010 0 0 500000.00 0.00 0.00 500000.00
1780322-1 2010 1 1 -147274.00 0.00 -352726.00 -500000.00
1780473-2 2012 0 0 1000000.00 0.00 -70621.00 929379.00
1780473-2 2012 1 1 0.00 0.00 -22016.00 -22016.00
1780473-2 2012 2 0 0.00 0.00 -35000.00 -35000.00
1780473-3 2012 2 1 25000.00 0.00 -25000.00 0.00
1780473-4 2012 2 1 25000.00 0.00 -25000.00 0.00
1780881-2 2008 0 1 0.00 0.00 0.00 0.00
1781556-2 2014 0 1 0.00 0.00 0.00 0.00
1782429-2 2008 0 0 0.00 0.00 -760.00 -760.00
1782429-2 2008 1 1 760.00 0.00 0.00 760.00
1782721-1 2009 0 0 10000.00 0.00 -3400.00 6600.00
1782721-1 2009 1 1 -6600.00 0.00 0.00 -6600.00
1786818-3 2012 0 1 6399.00 0.00 -6399.00 0.00
1790678-10 2009 0 1 9000.00 0.00 0.00 9000.00
1790678-10 2009 1 0 74000.00 0.00 -47878.00 26122.00
1790678-10 2009 3 0 -35122.00 0.00 0.00 -35122.00
1790994-5 2012 0 1 500000.00 0.00 -3000.00 497000.00
1790994-5 2012 1 0 0.00 0.00 -107500.00 -107500.00
1790994-5 2012 2 0 300000.00 0.00 -81875.00 218125.00
1793427-12 2010 4 1 18000.00 0.00 -18000.00 0.00
1795022-6 2011 1 1 55000.00 0.00 -55000.00 0.00
1795056-3 2008 1 1 20000.00 0.00 -4930.00 15070.00
1795056-3 2008 2 0 -15070.00 0.00 0.00 -15070.00
1803150-2 2008 0 0 2000.00 0.00 -1560.00 440.00
1803150-2 2008 1 0 3000.00 0.00 -2300.00 700.00
1803150-2 2008 2 1 -1140.00 0.00 0.00 -1140.00
1804061-16 2011 0 0 100000.00 0.00 -10000.00 90000.00
1804061-16 2011 1 0 500000.00 0.00 -161028.00 338972.00
1804061-16 2011 2 1 -167722.00 0.00 -261250.00 -428972.00
1812800-3 2012 0 1 10001.00 0.00 0.00 10001.00
1812800-3 2012 1 0 -10001.00 0.00 0.00 -10001.00
1814455-2 2008 1 0 10000.00 0.00 -7296.00 2704.00
1814455-2 2008 2 1 -2704.00 0.00 0.00 -2704.00
1821627-4 2008 1 1 20000.00 0.00 -6051.00 13949.00
1821627-4 2008 2 0 -13949.00 0.00 0.00 -13949.00
1825580-13 2014 0 1 15001.00 0.00 0.00 15001.00
1830323-2 2010 0 0 25000.00 0.00 0.00 25000.00
1830323-2 2010 1 1 -25000.00 0.00 0.00 -25000.00
1836962-4 2011 0 0 300000.00 0.00 -5613.00 294387.00
1836962-4 2011 1 0 650000.00 0.00 -142265.00 507735.00
1836962-4 2011 2 1 0.00 0.00 -145719.00 -145719.00
1836962-4 2011 3 0 0.00 0.00 -117081.00 -117081.00
1839442-5 2012 0 0 30000.00 0.00 0.00 30000.00
1839442-5 2012 1 1 70000.00 0.00 -2800.00 67200.00
1839442-5 2012 2 0 27800.00 0.00 -125000.00 -97200.00
1840013-7 2011 0 1 1167.00 0.00 -1167.00 0.00
1840158-2 2010 0 0 5000.00 0.00 0.00 5000.00
1840158-2 2010 1 1 -5000.00 0.00 0.00 -5000.00
1841222-7 2012 0 1 40000.00 0.00 -17308.00 22692.00
1841222-7 2012 1 0 -22692.00 0.00 0.00 -22692.00
1841380-3 2012 0 1 0.00 0.00 0.00 0.00
1842821-2 2009 0 0 10000.00 0.00 0.00 10000.00
1842821-2 2009 1 1 -10000.00 0.00 0.00 -10000.00
1842896-1 2010 0 1 172.00 0.00 -172.00 0.00
1846605-6 2011 0 0 50001.00 0.00 0.00 50001.00
1846605-6 2011 1 0 199999.00 0.00 -17093.00 182906.00
1846605-6 2011 2 0 650000.00 0.00 -17268.00 632732.00
1846605-6 2011 3 1 30000.00 0.00 -78537.00 -48537.00
1847935-2 2010 0 0 20000.00 0.00 0.00 20000.00
1847935-2 2010 1 1 -18540.00 0.00 -1460.00 -20000.00
1849958-2 2010 0 1 0.00 0.00 0.00 0.00
1850032-3 2008 1 1 26000.00 0.00 -26000.00 0.00
1852484-8 2011 0 1 5570.00 0.00 -5570.00 0.00
1852543-1 2011 0 1 4300.00 0.00 -4300.00 0.00
1852543-2 2011 0 1 0.00 0.00 0.00 0.00
1857063-3 2009 2 1 200000.00 0.00 -18027.00 181973.00
1857063-3 2009 3 0 0.00 0.00 -17800.00 -17800.00
1857063-3 2009 4 0 -164173.00 0.00 0.00 -164173.00
1861011-2 2009 1 1 1200.00 0.00 -1200.00 0.00
1868139-6 2010 0 1 5000.00 0.00 0.00 5000.00
1868139-6 2010 1 0 -3500.00 0.00 -1500.00 -5000.00
1868484-1 2010 0 1 10000.00 0.00 0.00 10000.00
1868484-1 2010 1 0 -10000.00 0.00 0.00 -10000.00
1875407-3 2009 1 1 1700000.00 0.00 0.00 1700000.00
1875532-4 2010 1 1 5000.00 0.00 0.00 5000.00
1875532-4 2010 2 0 -5000.00 0.00 0.00 -5000.00
1882086-3 2009 2 1 0.00 0.00 0.00 0.00
1882195-2 2008 1 1 515.00 0.00 -515.00 0.00
1887022-1 2010 0 0 50000.00 0.00 -25622.00 24378.00
1887022-1 2010 1 1 1200000.00 0.00 -77001.00 1122999.00
1887022-1 2010 2 0 0.00 0.00 -168415.00 -168415.00
1887022-1 2010 3 0 -893962.00 0.00 -85000.00 -978962.00
1889442-4 2011 0 0 750000.00 0.00 0.00 750000.00
1889442-4 2011 1 1 -656063.00 0.00 -93937.00 -750000.00
1889442-6 2011 0 0 100000.00 0.00 0.00 100000.00
1889442-6 2011 1 1 -97761.00 0.00 -2239.00 -100000.00
1889442-7 2011 0 0 60000.00 0.00 0.00 60000.00
1889442-7 2011 1 0 390000.00 0.00 0.00 390000.00
1889442-7 2011 2 0 0.00 0.00 -82141.00 -82141.00
1889442-7 2011 3 1 -367859.00 0.00 0.00 -367859.00
1892006-3 2012 0 0 25000.00 0.00 -20000.00 5000.00
1892006-3 2012 1 1 5000.00 0.00 -10000.00 -5000.00
1894079-2 2010 0 1 0.00 0.00 0.00 0.00
1897429-5 2013 0 1 30000.00 0.00 0.00 30000.00
1897429-5 2013 1 0 -30000.00 0.00 0.00 -30000.00
1899044-3 2010 0 0 3000.00 0.00 -2719.00 281.00
1899044-3 2010 1 1 -281.00 0.00 0.00 -281.00
1899814-16 2011 0 1 0.00 0.00 0.00 0.00
1899814-17 2011 0 1 66750.00 0.00 -66750.00 0.00
1903728-4 2009 1 1 100000.00 0.00 -10522.00 89478.00
1903728-4 2009 2 0 -60358.00 0.00 -29120.00 -89478.00
1907355-3 2014 0 1 15001.00 0.00 0.00 15001.00
1911340-5 2013 1 1 0.00 0.00 0.00 0.00
1911340-6 2013 1 1 100000.00 0.00 0.00 100000.00
1911350-3 2010 0 0 5000.00 0.00 0.00 5000.00
1911350-3 2010 1 1 -2000.00 0.00 -3000.00 -5000.00
1912629-2 2013 1 1 0.00 0.00 0.00 0.00
1917200-14 2010 1 1 5000.00 0.00 -5000.00 0.00
1917816-6 2011 0 0 40000.00 0.00 0.00 40000.00
1917816-6 2011 1 1 -35046.00 0.00 -4954.00 -40000.00
1920731-4 2012 0 1 5000.00 0.00 0.00 5000.00
1920731-4 2012 1 0 -5000.00 0.00 0.00 -5000.00
1923847-2 2011 0 1 0.00 0.00 0.00 0.00
1924882-7 2014 0 1 40000.00 0.00 -3382.00 36618.00
1926693-3 2011 0 0 40001.00 0.00 0.00 40001.00
1926693-3 2011 1 1 -35001.00 0.00 -5000.00 -40001.00
1927139-1 2009 0 1 2096.00 0.00 -2096.00 0.00
1931721-1 2011 0 1 775.00 0.00 -775.00 0.00
1939343-2 2010 0 0 5568.00 0.00 -5568.00 0.00
1939343-2 2010 1 1 0.00 0.00 0.00 0.00
1940289-2 2011 0 1 0.00 0.00 0.00 0.00
1940289-3 2011 0 0 150000.00 0.00 -1484.00 148516.00
1940289-3 2011 1 1 -144990.00 0.00 -3526.00 -148516.00
1942381-1 2010 1 0 50000.00 0.00 0.00 50000.00
1942381-1 2010 4 1 -11768.00 0.00 -38232.00 -50000.00
1944152-9 2010 0 0 10000.00 0.00 -1531.00 8469.00
1944152-9 2010 1 1 30151.00 0.00 -38620.00 -8469.00
1944390-7 2013 0 1 290.00 0.00 -290.00 0.00
1945710-1 2010 0 1 2861.00 0.00 -2861.00 0.00
1945956-4 2011 0 1 0.00 0.00 0.00 0.00
1948128-1 2010 0 0 46400.00 0.00 -15900.00 30500.00
1948128-1 2010 1 1 -30500.00 0.00 0.00 -30500.00
1949152-4 2011 0 1 500.00 0.00 -500.00 0.00
1949152-5 2011 0 1 0.00 0.00 0.00 0.00
1950074-2 2014 0 1 17000.00 0.00 -17000.00 0.00
1950074-2 2014 1 0 655.00 0.00 -655.00 0.00
1951646-1 2009 1 1 3082.00 0.00 -3082.00 0.00
1952849-2 2010 0 1 4000.00 0.00 -4000.00 0.00
1958633-5 2012 0 1 2012.00 0.00 -2012.00 0.00
1958633-6 2012 0 1 0.00 0.00 0.00 0.00
1961286-2 2014 0 0 15001.00 0.00 0.00 15001.00
1961286-2 2014 1 1 84999.00 0.00 0.00 84999.00
1962539-4 2013 1 1 11939.00 0.00 -11939.00 0.00
1962539-5 2013 1 1 0.00 0.00 0.00 0.00
1962539-6 2013 1 1 0.00 0.00 0.00 0.00
1969779-2 2012 0 1 0.00 0.00 0.00 0.00
1970736-7 2011 0 1 0.00 0.00 0.00 0.00
1972823-1 2009 0 1 15000.00 0.00 -1160.00 13840.00
1972823-1 2009 1 0 -13840.00 0.00 0.00 -13840.00
1978419-15 2014 0 1 15001.00 0.00 0.00 15001.00
1980519-1 2009 0 0 500000.00 0.00 -51875.00 448125.00
1980519-1 2009 1 1 0.00 0.00 -119559.00 -119559.00
1980519-1 2009 2 0 0.00 0.00 -39475.00 -39475.00
1980519-1 2009 3 0 411081.00 0.00 -700172.00 -289091.00
1988330-3 2012 0 0 40000.00 0.00 -876.00 39124.00
1988330-3 2012 1 1 -39124.00 0.00 0.00 -39124.00
1988748-2 2014 0 1 1.00 0.00 0.00 1.00
1994682-2 2009 2 1 1000000.00 0.00 -700.00 999300.00
1994682-2 2009 3 0 0.00 0.00 -30200.00 -30200.00
1994682-2 2009 4 0 -877100.00 0.00 -92000.00 -969100.00
1995137-2 2009 2 0 500000.00 0.00 -1155.00 498845.00
1995137-2 2009 3 0 -400000.00 0.00 -40500.00 -440500.00
1995137-2 2009 4 1 -1932.00 0.00 -56413.00 -58345.00
2001203-1 2009 1 1 13287.00 0.00 -13287.00 0.00
2007387-2 2009 1 0 25000.00 0.00 -7722.00 17278.00
2007387-2 2009 2 1 9802.00 0.00 -27080.00 -17278.00
2007387-2 2009 4 0 41200.00 0.00 -41200.00 0.00
2008874-2 2014 0 1 40000.00 0.00 -6000.00 34000.00
2009406-3 2010 1 1 42875.00 0.00 -2875.00 40000.00
2009406-3 2010 2 0 -40000.00 0.00 0.00 -40000.00
2012976-1 2009 0 1 1775.00 0.00 -1775.00 0.00
2014007-1 2010 1 1 30640.00 0.00 -30640.00 0.00
2016500-3 2010 1 1 14000.00 0.00 -14000.00 0.00
2024078-6 2012 0 0 10001.00 0.00 0.00 10001.00
2024078-6 2012 1 1 -10001.00 0.00 0.00 -10001.00
2024735-2 2010 0 0 155000.00 0.00 -2257.00 152743.00
2024735-2 2010 1 1 -137743.00 0.00 -15000.00 -152743.00
2029760-1 2009 1 0 400000.00 0.00 -18681.00 381319.00
2029760-1 2009 2 0 0.00 0.00 -100000.00 -100000.00
2029760-1 2009 3 0 0.00 0.00 -50000.00 -50000.00
2029760-1 2009 5 1 -180000.00 0.00 0.00 -180000.00
2036767-1 2010 1 1 0.00 0.00 0.00 0.00
2036815-1 2009 0 0 17820.00 0.00 -17820.00 0.00
2036815-1 2009 1 0 232180.00 0.00 -47033.00 185147.00
2036815-1 2009 2 0 11580.00 0.00 -40461.50 -28881.50
2036815-1 2009 3 1 29690.50 0.00 -185956.00 -156265.50
2037075-9 2014 0 1 0.00 0.00 0.00 0.00
2042162-4 2014 1 1 15001.00 0.00 0.00 15001.00
2043195-1 2010 0 1 20000.00 0.00 -5464.00 14536.00
2043195-1 2010 1 0 -14536.00 0.00 0.00 -14536.00
2047867-5 2010 1 1 2850.00 0.00 -2850.00 0.00
2059321-1 2010 0 1 1300000.00 0.00 0.00 1300000.00
2059321-1 2010 1 0 -288560.00 0.00 -656065.00 -944625.00
2059321-1 2010 4 0 -355375.00 0.00 0.00 -355375.00
2071393-10 2014 0 1 15000.00 0.00 0.00 15000.00
2071393-11 2014 0 1 15000.00 0.00 0.00 15000.00
2071393-11 2014 1 0 25000.00 0.00 -4807.00 20193.00
2075385-4 2011 1 1 10000.00 0.00 0.00 10000.00
2075385-4 2011 2 0 10000.00 0.00 0.00 10000.00
2079354-2 2013 1 1 5000.00 0.00 -5000.00 0.00
2090415-1 2009 0 1 4200.00 0.00 -4200.00 0.00
2090415-1 2009 1 0 195800.00 0.00 -44526.00 151274.00
2090415-1 2009 2 0 250000.00 0.00 -3125.00 246875.00
2090415-1 2009 3 0 0.00 0.00 -35500.00 -35500.00
2090415-1 2009 4 0 0.00 0.00 -36871.00 -36871.00
2090415-1 2009 5 0 -55778.00 0.00 -270000.00 -325778.00
2093776-11 2011 1 0 0.00 0.00 0.00 0.00
2093776-11 2011 2 1 40000.00 0.00 0.00 40000.00
2093776-11 2011 3 0 -37600.00 0.00 -2400.00 -40000.00
2095361-1 2010 0 1 20000.00 0.00 -20000.00 0.00
2096665-2 2012 0 1 40000.00 0.00 0.00 40000.00
2096665-2 2012 1 0 -40000.00 0.00 0.00 -40000.00
2099713-3 2011 0 0 300000.00 0.00 -41530.00 258470.00
2099713-3 2011 1 1 37054.00 0.00 -295524.00 -258470.00
2100446-2 2010 0 0 60815.00 0.00 -50815.00 10000.00
2100446-2 2010 1 0 -9485.00 0.00 -515.00 -10000.00
2100446-2 2010 2 0 29485.00 0.00 0.00 29485.00
2100446-2 2010 3 1 250000.00 0.00 -94113.75 155886.25
2100446-2 2010 4 0 -100000.00 0.00 -35188.00 -135188.00
2100915-6 2013 0 1 3731.00 0.00 -3731.00 0.00
2100915-7 2013 0 1 3731.00 0.00 -3731.00 0.00
2100915-8 2013 0 1 30000.00 0.00 -8830.00 21170.00
2100915-8 2013 1 0 -2616.00 0.00 -18554.00 -21170.00
2100980-4 2014 0 1 10000.00 0.00 -435.00 9565.00
2100980-4 2014 1 0 -9565.00 0.00 0.00 -9565.00
2107195-5 2013 0 1 0.00 0.00 0.00 0.00
2110350-3 2011 0 1 40000.00 0.00 0.00 40000.00
2110350-3 2011 1 0 -36500.00 0.00 -3500.00 -40000.00
2110350-4 2011 1 1 0.00 0.00 0.00 0.00
2110688-1 2010 1 1 3500000.00 0.00 -118245.00 3381755.00
2110688-1 2010 2 0 -1299037.00 0.00 -2082718.00 -3381755.00
2114941-4 2010 0 1 13551.00 0.00 -13551.00 0.00
2122137-3 2014 0 1 0.00 0.00 -1847.00 -1847.00
2125629-1 2010 0 1 418.00 0.00 -418.00 0.00
2130518-2 2009 1 0 50000.00 0.00 -12790.00 37210.00
2130518-2 2009 2 1 -22210.00 0.00 -15000.00 -37210.00
2130839-1 2009 0 0 0.00 0.00 -3967.00 -3967.00
2130839-1 2009 1 1 39192.00 0.00 -35225.00 3967.00
2136336-1 2009 1 0 50000.00 0.00 -2925.00 47075.00
2136336-1 2009 2 1 50000.00 0.00 -16497.00 33503.00
2136336-1 2009 3 0 50000.00 0.00 -11531.00 38469.00
2136336-1 2009 4 0 150000.00 0.00 -29401.00 120599.00
2136336-1 2009 5 0 48172.00 0.00 -287818.00 -239646.00
2138350-2 2010 0 1 360.00 0.00 -360.00 0.00
2140204-2 2010 0 1 2139.00 0.00 -2139.00 0.00
2140204-3 2010 1 1 0.00 0.00 0.00 0.00
2142952-1 2009 1 1 300000.00 0.00 -28715.00 271285.00
2142952-1 2009 2 0 300000.00 0.00 -172679.00 127321.00
2142952-1 2009 3 0 -309074.75 0.00 -39531.25 -348606.00
2147098-1 2009 0 1 7500.00 0.00 -7500.00 0.00
2148643-3 2013 0 1 40000.00 0.00 -3945.00 36055.00
2148643-3 2013 1 0 -16055.00 0.00 -20000.00 -36055.00
2152183-2 2009 0 1 547.00 0.00 -547.00 0.00
2152183-2 2009 1 0 3500.00 0.00 -3500.00 0.00
2153151-2 2010 0 1 5000.00 0.00 0.00 5000.00
2153151-2 2010 1 0 -5000.00 0.00 0.00 -5000.00
2157877-1 2010 1 1 30026.00 0.00 -30026.00 0.00
2164739-1 2009 1 1 4994.00 0.00 -4994.00 0.00
2165309-7 2013 1 1 11200.00 0.00 -11200.00 0.00
2172335-2 2012 1 1 40000.00 0.00 -31778.00 8222.00
2172335-2 2012 2 0 -8222.00 0.00 0.00 -8222.00
2178469-2 2010 1 1 200000.00 0.00 0.00 200000.00
2178469-2 2010 2 0 -153002.19 0.00 -46997.81 -200000.00
2180354-1 2009 2 1 765.00 0.00 -765.00 0.00
2181432-1 2010 0 1 70000.00 0.00 -6980.00 63020.00
2181432-1 2010 1 0 -60840.00 0.00 -2180.00 -63020.00
2187177-1 2009 4 1 40000.00 0.00 -3600.00 36400.00
2187177-1 2009 5 0 -36400.00 0.00 0.00 -36400.00
2187830-1 2009 1 0 110000.00 0.00 -6250.00 103750.00
2187830-1 2009 2 0 150000.00 0.00 -14349.00 135651.00
2187830-1 2009 3 0 0.00 0.00 -29500.00 -29500.00
2187830-1 2009 4 1 -10000.00 0.00 -5730.00 -15730.00
2187830-1 2009 5 0 0.00 0.00 -10175.00 -10175.00
2187846-2 2012 0 0 10000.00 0.00 0.00 10000.00
2187846-2 2012 1 1 -10000.00 0.00 0.00 -10000.00
2189938-11 2012 0 0 200000.00 0.00 -1230.00 198770.00
2189938-11 2012 1 1 500000.00 0.00 -49818.00 450182.00
2189938-11 2012 2 0 0.00 0.00 -18500.00 -18500.00
2192306-2 2009 1 0 0.00 0.00 0.00 0.00
2192306-2 2009 2 1 0.00 0.00 0.00 0.00
2195900-4 2010 0 1 1112.00 0.00 -1112.00 0.00
2196772-3 2011 0 0 20000.00 0.00 -2198.00 17802.00
2196772-3 2011 1 1 -2802.00 0.00 -15000.00 -17802.00
2196772-3 2011 2 0 82802.00 0.00 0.00 82802.00
2196772-3 2011 3 0 50000.00 0.00 -33941.50 16058.50
2196772-4 2011 0 1 20000.00 0.00 -1010.00 18990.00
2196772-4 2011 1 0 -3990.00 0.00 -15000.00 -18990.00
2196772-4 2011 2 0 83990.00 0.00 0.00 83990.00
2196772-4 2011 3 0 50000.00 0.00 -35986.00 14014.00
2197132-12 2010 0 1 15000.00 0.00 0.00 15000.00
2197132-12 2010 1 0 -15000.00 0.00 0.00 -15000.00
2197556-2 2011 1 0 200000.00 0.00 -2740.00 197260.00
2197556-2 2011 2 1 -177260.00 0.00 -20000.00 -197260.00
2197622-3 2009 1 1 75000.00 0.00 -75000.00 0.00
2200536-2 2010 0 0 50000.00 0.00 0.00 50000.00
2200536-2 2010 1 0 -50000.00 0.00 0.00 -50000.00
2200536-2 2010 4 1 950000.00 0.00 0.00 950000.00
2200536-2 2010 5 0 -475000.00 0.00 0.00 -475000.00
2200923-1 2009 1 1 350000.00 0.00 -99685.00 250315.00
2200923-1 2009 2 0 0.00 0.00 -31065.00 -31065.00
2200923-1 2009 3 0 0.00 0.00 -59155.00 -59155.00
2200923-1 2009 4 0 -160095.00 0.00 0.00 -160095.00
2200923-2 2009 1 1 0.00 0.00 0.00 0.00
2203225-6 2010 1 0 50000.00 0.00 -9378.00 40622.00
2203225-6 2010 2 1 -30622.00 0.00 -10000.00 -40622.00
2204593-1 2012 2 1 25000.00 0.00 0.00 25000.00
2206020-8 2011 0 0 40001.00 0.00 0.00 40001.00
2206020-8 2011 1 1 -40001.00 0.00 0.00 -40001.00
2210512-2 2011 0 0 300000.00 0.00 -3585.00 296415.00
2210512-2 2011 1 0 -296415.00 0.00 0.00 -296415.00
2210512-2 2011 3 1 46415.00 0.00 -2495.00 43920.00
2210512-2 2011 4 0 -27635.00 0.00 -16285.00 -43920.00
2210512-3 2011 3 1 0.00 0.00 0.00 0.00
2213346-3 2010 0 1 25000.00 0.00 0.00 25000.00
2213346-3 2010 1 0 -24262.00 0.00 -738.00 -25000.00
2213346-5 2011 0 0 1685.00 0.00 -1685.00 0.00
2213346-5 2011 1 0 198315.00 0.00 -1120.00 197195.00
2213346-5 2011 2 1 -147995.00 0.00 -49200.00 -197195.00
2213484-2 2012 0 1 1184.00 0.00 -1184.00 0.00
2214073-1 2010 0 1 25000.00 0.00 -505.00 24495.00
2214073-1 2010 1 0 -24495.00 0.00 0.00 -24495.00
2215934-1 2010 1 0 50000.00 0.00 -2592.00 47408.00
2215934-1 2010 2 1 -47408.00 0.00 0.00 -47408.00
2215934-2 2010 1 0 300000.00 0.00 -20582.00 279418.00
2215934-2 2010 2 0 600000.00 0.00 -46903.00 553097.00
2215934-2 2010 3 1 -438654.00 0.00 -138981.00 -577635.00
2215934-2 2010 4 0 -102523.00 0.00 -152357.00 -254880.00
2216494-1 2010 0 1 0.00 0.00 0.00 0.00
2216498-2 2010 0 1 0.00 0.00 0.00 0.00
2217043-7 2014 0 0 1.00 0.00 0.00 1.00
2217043-7 2014 1 1 -1.00 0.00 0.00 -1.00
2218846-2 2012 0 0 40000.00 0.00 0.00 40000.00
2218846-2 2012 1 1 -40000.00 0.00 0.00 -40000.00
2221324-6 2014 0 1 0.00 0.00 0.00 0.00
2223598-1 2010 0 1 5000.00 0.00 -1571.00 3429.00
2223598-1 2010 1 0 -3429.00 0.00 0.00 -3429.00
2224539-1 2010 0 0 150000.00 0.00 -3533.00 146467.00
2224539-1 2010 1 1 150000.00 0.00 -15285.95 134714.05
2224539-1 2010 2 0 0.00 0.00 -16424.90 -16424.90
2224539-1 2010 3 0 0.00 0.00 -52644.00 -52644.00
2224539-1 2010 4 0 600000.00 0.00 -78000.00 522000.00
2226106-2 2010 0 1 20000.00 0.00 -3703.00 16297.00
2226106-2 2010 1 0 2330.00 0.00 -18627.00 -16297.00
2227343-1 2010 0 0 1015.00 0.00 -1015.00 0.00
2227343-1 2010 1 1 6982.00 0.00 -6982.00 0.00
2228872-8 2010 0 0 0.00 0.00 0.00 0.00
2228872-8 2010 1 0 1315076.00 0.00 -65745.00 1249331.00
2228872-8 2010 2 1 0.00 0.00 -228422.00 -228422.00
2228872-8 2010 3 0 -70812.00 0.00 -950097.00 -1020909.00
2231827-1 2010 0 0 12000.00 0.00 -3490.00 8510.00
2231827-1 2010 1 0 11799.00 0.00 0.00 11799.00
2231827-1 2010 2 0 -3799.00 0.00 -3765.00 -7564.00
2231827-1 2010 3 1 3825.00 0.00 -16570.00 -12745.00
2236681-2 2012 0 1 40000.00 0.00 0.00 40000.00
2236681-2 2012 2 0 -40000.00 0.00 0.00 -40000.00
2237847-4 2009 1 1 0.00 0.00 0.00 0.00
2239911-5 2014 0 1 0.00 0.00 0.00 0.00
2240896-2 2010 0 1 14098.00 0.00 -14098.00 0.00
2241340-2 2014 0 1 15001.00 0.00 0.00 15001.00
2241340-3 2014 0 1 10001.00 0.00 0.00 10001.00
2241340-4 2014 0 1 10001.00 0.00 0.00 10001.00
2249266-5 2014 0 1 15001.00 0.00 -547.00 14454.00
