SkadeNr SkadeAr avvikling antallskader SkadeEstimat Regress UtbetaltBelop RBNS
1185843-1 2007 1 1 13000.00 0.00 -2725.00 10275.00
1185843-1 2007 2 0 3100.00 0.00 -3056.00 44.00
1185843-1 2007 3 0 -10319.00 0.00 0.00 -10319.00
1188565-1 2007 0 1 25000.00 0.00 0.00 25000.00
1188565-1 2007 2 0 -25000.00 0.00 0.00 -25000.00
1193928-3 2009 0 1 100000.00 0.00 -40471.00 59529.00
1193928-3 2009 1 0 100000.00 0.00 -28551.00 71449.00
1193928-3 2009 2 0 -128073.00 0.00 -2905.00 -130978.00
1199869-1 2007 0 0 500000.00 0.00 0.00 500000.00
1199869-1 2007 1 1 -490000.00 0.00 -10000.00 -500000.00
1199890-1 2006 1 0 200000.00 0.00 -1000.00 199000.00
1199890-1 2006 3 1 -199000.00 0.00 0.00 -199000.00
1202288-2 2006 3 1 574.00 0.00 -574.00 0.00
1211159-1 2007 0 0 10000.00 0.00 0.00 10000.00
1211159-1 2007 1 1 -10000.00 0.00 0.00 -10000.00
1213163-2 2006 1 1 0.00 0.00 0.00 0.00
1217732-2 2008 0 0 35000.00 0.00 -10000.00 25000.00
1217732-2 2008 2 1 -25000.00 0.00 0.00 -25000.00
1217732-2 2008 3 0 75000.00 0.00 -63451.25 11548.75
1217732-2 2008 4 0 88451.25 0.00 -100000.00 -11548.75
1220385-1 2008 1 1 25000.00 0.00 0.00 25000.00
1220385-1 2008 2 0 -25000.00 0.00 0.00 -25000.00
1222359-2 2007 1 1 10000.00 0.00 0.00 10000.00
1222359-2 2007 2 0 -10000.00 0.00 0.00 -10000.00
1224683-3 2010 4 1 610.00 0.00 -610.00 0.00
1224683-3 2010 5 0 39390.00 0.00 0.00 39390.00
1225300-1 2006 1 1 200000.00 0.00 0.00 200000.00
1225300-1 2006 3 0 -158037.00 0.00 -41963.00 -200000.00
1225300-1 2006 4 0 500000.00 0.00 0.00 500000.00
1225300-1 2006 7 0 -500000.00 0.00 0.00 -500000.00
1227035-1 2006 1 0 50000.00 0.00 0.00 50000.00
1227035-1 2006 2 1 -50000.00 0.00 0.00 -50000.00
1227720-1 2007 0 0 5000.00 0.00 -655.00 4345.00
1227720-1 2007 1 1 -4345.00 0.00 0.00 -4345.00
1230709-1 2006 1 1 250000.00 0.00 0.00 250000.00
1230709-1 2006 2 0 -250000.00 0.00 0.00 -250000.00
1231077-2 2009 0 0 30000.00 0.00 -4753.00 25247.00
1231077-2 2009 1 1 1070000.00 0.00 -95305.00 974695.00
1231077-2 2009 2 0 0.00 0.00 -84553.00 -84553.00
1231077-2 2009 3 0 0.00 0.00 -36500.00 -36500.00
1231077-2 2009 4 0 -229218.00 0.00 -649671.00 -878889.00
1232770-1 2007 0 1 969.50 0.00 -969.50 0.00
1235986-1 2007 0 1 50000.00 0.00 -7560.00 42440.00
1235986-1 2007 2 0 -42440.00 0.00 0.00 -42440.00
1238027-1 2007 3 1 0.00 0.00 0.00 0.00
1242377-1 2006 1 1 0.00 0.00 0.00 0.00
1246550-1 2006 1 0 10300.00 0.00 0.00 10300.00
1246550-1 2006 4 1 10950.00 0.00 -21250.00 -10300.00
1249564-3 2007 0 1 0.00 0.00 0.00 0.00
1249564-3 2007 2 0 1800.00 0.00 -1800.00 0.00
1251918-10 2008 0 0 15000.00 0.00 0.00 15000.00
1251918-10 2008 1 0 -14345.00 0.00 -655.00 -15000.00
1251918-10 2008 2 1 0.00 0.00 0.00 0.00
1251918-9 2008 0 1 0.00 0.00 0.00 0.00
1252313-1 2008 1 1 25000.00 0.00 0.00 25000.00
1252313-1 2008 2 0 -25000.00 0.00 0.00 -25000.00
1252313-2 2008 2 1 2000.00 0.00 -600.00 1400.00
1252313-2 2008 5 0 -1400.00 0.00 0.00 -1400.00
1252831-1 2007 0 0 10000.00 0.00 -1045.00 8955.00
1252831-1 2007 1 1 -8390.00 0.00 -565.00 -8955.00
1260454-1 2006 2 1 0.00 0.00 0.00 0.00
1261517-5 2007 0 0 25000.00 0.00 -9417.50 15582.50
1261517-5 2007 1 1 0.00 0.00 -12040.00 -12040.00
1261517-5 2007 2 0 -3542.50 0.00 0.00 -3542.50
1271922-2 2010 0 1 10000.00 0.00 -3344.00 6656.00
1271922-2 2010 1 0 13344.00 0.00 -20000.00 -6656.00
1274464-2 2008 3 1 0.00 0.00 0.00 0.00
1276162-2 2007 1 0 25000.00 0.00 0.00 25000.00
1276162-2 2007 2 1 -25000.00 0.00 0.00 -25000.00
1280728-1 2007 0 1 0.00 0.00 0.00 0.00
1282261-1 2007 0 0 5000.00 0.00 0.00 5000.00
1282261-1 2007 1 1 -5000.00 0.00 0.00 -5000.00
1285053-1 2007 0 0 10000.00 0.00 -2400.00 7600.00
1285053-1 2007 1 0 16000.00 0.00 -470.00 15530.00
1285053-1 2007 3 1 -23130.00 0.00 0.00 -23130.00
1291940-2 2007 0 1 25001.00 0.00 -25000.00 1.00
1291940-2 2007 1 0 -1.00 0.00 0.00 -1.00
1297013-1 2007 1 1 3200.00 0.00 -3200.00 0.00
1306881-2 2007 1 0 25000.00 0.00 -960.00 24040.00
1306881-2 2007 2 1 25000.00 0.00 -16385.00 8615.00
1306881-2 2007 3 0 4085.00 0.00 -17700.00 -13615.00
1306881-2 2007 4 0 -19040.00 0.00 0.00 -19040.00
1307921-1 2007 1 0 15000.00 0.00 -15000.00 0.00
1307921-1 2007 2 0 96000.00 0.00 -107637.00 -11637.00
1307921-1 2007 3 0 1436345.00 0.00 -185845.00 1250500.00
1307921-1 2007 5 1 -1238863.00 0.00 0.00 -1238863.00
1308321-1 2007 0 0 10000.00 0.00 -382.00 9618.00
